rank,domain,is_chinese,score,tier,official,nsfw,eco_count,effort,ecosystems,names,langs
40,vomicmh.com,1,48,T2,,0,2,to-build,cimoc|mihon,VOMIC2|vomic,zh
41,wmh1234.com,1,48,T2,,0,2,existing,mihon|venera,漫画1234|漫画kan,zh
42,xcomic.me,1,48,T2,,0,2,to-build,aidoku|mihon,XCOMIC|multi.xcomic,ab|af|all|am|ar|az|be|bg|bn|bs|ca|ceb|cs|cv|da|de|el|en|eo|es|es-419|et|eu|fa|fi|fil|fo|fr|ga|gl|gn|gu|ha|he|hi|hr|ht|hu|hy|id|ig|is|it|ja|jv|ka|kk|km|kn|ko|ku|ky|la|lb|lo|lt|lv|mg|mi|mk|ml|mn|mo|mr|ms|mt|multi|my|ne|nl|no|ny|other|pl|ps|pt|pt-br|rm|ro|ru|sd|sh|si|sk|sl|sm|sn|so|sq|sr|ss|st|sv|sw|ta|te|tg|th|ti|tk|to|tr|uk|ur|uz|vi|yo|zh|zh-hant|zu
43,zaimanhua.com,1,48,T2,,0,2,to-build,aidoku|cimoc,HAOMAN8|zh.zaimanhua,zh
44,zerobyw33.com,1,48,T2,,0,2,existing,mihon|venera,zero搬运网,zh
45,ymcdnyfqdapp.ikmmh.com,1,44,T2,,1,3,existing,cimoc|mihon|venera,BODONGMH|爱看漫,zh
46,100fanwo.com,1,38,T2,,0,1,to-build,cimoc,MH360,zh
47,18mh.org,1,38,T2,,0,1,existing,mihon,18漫画,zh
48,1kkk.com,1,38,T2,,0,1,existing,venera,极速漫画,zh
49,2026copy.com,1,38,T2,,0,1,to-build,cimoc,CopyManHua,zh
50,2cycomic.com,1,38,T2,,0,1,existing,venera,次元漫画,zh
51,311s.com,1,38,T2,,0,1,to-build,mihon,漫画社,zh
52,36mh.org,1,38,T2,,0,1,to-build,cimoc,QIMIAO,zh
53,4399manhua.com,1,38,T2,,0,1,existing,venera,4399漫画网,zh
54,51manga.com,1,38,T2,,0,1,existing,venera,51漫画,zh
55,77mh.nl,1,38,T2,,0,1,to-build,legado,🎨 新新漫画,zh
56,77mh.xyz,1,38,T2,,0,1,to-build,legado,🎨新新漫画-xyz,zh
57,7stary.com,1,38,T2,,0,1,to-build,cimoc,DUMH|DuManHua,zh
58,8comic.com,1,38,T2,,0,1,to-build,mihon,無限動漫,zh
59,8jj.com,1,38,T2,,0,1,to-build,legado,✐ 八极漫画 #Haxc|八极漫画,zh
60,90mh.org,1,38,T2,,0,1,to-build,cimoc,MANHUA90,zh
61,92mh.com,1,38,T2,,0,1,to-build,mihon,92漫画,zh
62,9comic.cn,1,38,T2,,0,1,existing,legado,好看漫画,zh
63,amcomic.com,1,38,T2,,0,1,to-build,legado,一个漫画,zh
64,api.acg.gd,1,38,T2,,0,1,to-build,legado,✐ 🔥亲亲漫画 #Haxc|🎨亲亲漫画 #Haxc🔞|🎨亲亲漫画🔞,zh
65,api.creative-comic.tw,1,38,T2,,0,1,existing,venera,CCC追漫台,zh
66,api.ilikemanga.com,1,38,T2,,0,1,to-build,legado,🎨追追漫画₁🅰,zh
67,api.iqhmh.com,1,38,T2,,0,1,to-build,legado,✐ 趣话漫画🅰💰 #Haxc|㊣✐ 趣话漫画🅰 #Haxc|🎨 趣话漫画,zh
68,api.noyteam.online,1,38,T2,,0,1,to-build,mihon,NoyAcg,zh-hant
69,apifans.dushimh.com,1,38,T2,,0,1,to-build,legado,粉丝漫画,zh
70,app-api.pixiv.net,1,38,T2,,0,1,existing,venera,Pixiv,zh
71,baozimh.one,1,38,T2,,0,1,to-build,cimoc,BAOZIV2|HaoManSix,zh
72,baozimh.org,1,38,T2,,0,1,existing,mihon,GoDa漫画,zh
73,bbboy.cc,1,38,T2,,0,1,to-build,cimoc,BOLEMH,zh
74,bdido.com,1,38,T2,,0,1,to-build,legado,1359漫画,zh
75,biqu8.xyz,1,38,T2,,0,1,to-build,cimoc,BIQUGE,zh
76,bnman.net,1,38,T2,,0,1,to-build,cimoc,BAINIANMH,zh
77,bud.iqiyi.com,1,38,T2,,0,1,to-build,cimoc,IQIYI,zh
78,bukamh.com,1,38,T2,,0,1,existing,venera,布卡漫画,zh
79,bwhanman.com,1,38,T2,,0,1,to-build,legado,🌵背窝韩漫🌵,zh
80,cdn-msp.jmapinodeudzn.net,1,38,T2,,0,1,existing,venera,禁漫天堂,zh
81,chuixue.net,1,38,T2,,0,1,to-build,cimoc,CHUIXUEMH,zh
82,colamanga.com,1,38,T2,,0,1,to-build,cimoc,CoCoManHua,zh
83,comic.bh3.com,1,38,T2,,0,1,to-build,mihon,《崩坏3》IP站,zh
84,comic.hypergryph.com,1,38,T2,,0,1,to-build,mihon,泰拉记事社,zh
85,comic.pixiv.net,1,38,T2,,0,1,existing,mihon,Pixivコミック,ja
86,comicfury.com,1,38,T2,,0,1,to-build,mihon,Comic Fury|Comic Fury (No Text),all|de|en|es|fi|fr|it|ja|other|pl|pt-br|ru|zh
87,comick.art,1,38,T2,,0,1,existing,venera,comick,zh
88,comico.jp,1,38,T2,,0,1,to-build,mihon,コミコ,ja
89,copymanga.com,1,38,T2,,0,1,existing,legado,🎨 拷贝漫画➠移动不可用,zh
90,creative-comic.tw,1,38,T2,,0,1,existing,mihon,CCC追漫台,zh-hant
91,d9zfb53b.lstool.xyz,1,38,T2,,0,1,to-build,cimoc,GUOGUOMH,zh
92,dashuhuwai.com,1,38,T2,,0,1,to-build,legado,大树漫画,zh
93,dashumanhua.com,1,38,T2,,0,1,to-build,cimoc,DASHUMANHUA,zh
94,demo.kavita.org,1,38,T2,,0,1,existing,venera,Kavita,zh
95,demo.komga.org,1,38,T2,,0,1,existing,venera,Komga,zh
96,dongman.la,1,38,T2,,0,1,existing,venera,动漫啦,zh
